"wordid","language","wordform","object","translation","lemma_id"
1,"crk","atim","null","dog",1
2,"crk","atimwak","null","dogs",1
3,"crk","maskwa","null","bear",2
4,"crk","maskwak","null","bears",2
5,"crk","niwâpahtên","1sg","I see",3
6,"crk","kiwâpahtên","2sg","You see",3
7,"crk","wâpahtam","3sg","He sees",3
